"person_id","study_id","language","gender","age","education","hg_1","hg_3","hg_4","hg_7","hg_10","hg_13","pp_1","pp_6","pp_8","pp_11","pp_12","pp_14","pp_15","pp_17","mc_1","mc_2","mc_3","mc_7","mc_15","mc_18","mc_20","mc_23","hg","pp","mc","cr","cp","cc"
"01_77","01","DE","f",20,5,3,3,4,4,4,4,4,4,3,5,6,3,4,3,3,3,3,5,4,4,3,4,3.6,4,3.4,NA,NA,NA
"01_79","01","DE","f",60,5,4,3,1,2,2,5,2,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,3.2,2.8,4,NA,NA,NA
"01_80","01","DE","f",39,6,6,6,6,6,6,6,2,3,3,4,5,1,5,5,1,3,1,6,6,3,2,1,6,3.2,1.6,NA,NA,NA
"01_82","01","DE","f",22,6,4,4,2,3,3,5,5,5,2,6,5,3,3,4,4,3,3,5,5,3,4,4,3.8,3.6,3.6,NA,NA,NA
"01_88","01","DE","f",59,4,4,2,4,4,3,4,3,2,2,5,3,2,2,3,4,3,5,4,4,5,3,4,3.4,2.4,4.2,NA,NA,NA
"01_89","01","DE","f",58,3,2,2,5,4,4,5,5,5,5,5,5,3,4,4,5,4,4,5,5,3,4,4,3.4,4.4,4,NA,NA,NA
"01_91","01","DE","m",60,5,4,4,3,3,1,2,5,5,5,6,5,3,4,5,6,2,5,6,1,4,3,5,2.8,4.4,4.6,NA,NA,NA
"01_92","01","DE","f",31,5,4,3,1,2,3,5,4,2,3,3,4,4,1,3,4,3,3,4,4,2,4,5,3.4,3.2,3.6,NA,NA,NA
"01_94","01","DE","m",59,5,4,4,3,6,3,4,3,4,4,6,6,4,3,4,6,3,4,5,4,4,4,5,4.2,4,4.6,NA,NA,NA
"01_95","01","DE","m",61,4,4,3,2,2,2,4,3,4,4,5,3,5,3,3,4,2,3,2,3,4,4,3,3,3.6,3.6,NA,NA,NA
"01_96","01","DE","f",30,6,4,3,3,3,3,4,6,4,5,6,6,4,3,4,4,3,1,4,5,4,3,5,3.4,4.8,3.4,NA,NA,NA
"01_97","01","DE","m",18,5,5,3,6,3,4,5,4,4,4,5,4,3,2,3,3,3,4,3,5,3,3,4,4,3.4,3.4,NA,NA,NA
"01_98","01","DE","m",20,5,1,2,2,4,1,2,4,5,6,5,5,5,6,4,6,5,6,5,2,1,5,5,2,5.2,4.6,NA,NA,NA
"01_99","01","DE","m",19,5,5,3,3,2,2,5,2,4,2,5,2,4,2,1,4,3,5,3,2,3,2,4,3.4,2.4,3.6,NA,NA,NA
"01_100","01","DE","m",65,3,5,3,2,2,3,3,4,4,4,4,3,4,3,4,2,4,5,4,4,4,3,4,3.2,3.6,3.6,NA,NA,NA
"01_102","01","DE","f",59,4,4,3,6,3,4,4,6,4,4,6,5,3,1,2,2,3,3,4,3,3,5,3,3.6,3.8,3.2,NA,NA,NA
"01_103","01","DE","f",57,4,5,4,5,5,5,5,4,4,5,6,5,5,3,4,3,1,2,5,3,4,3,4,4.8,4.4,3.2,NA,NA,NA
"01_104","01","DE","f",29,4,4,3,2,4,3,3,4,4,4,4,4,4,3,3,3,2,3,4,3,4,2,3,3.4,3.8,3,NA,NA,NA
